Country,countryCode,Population,Capital,Birthrate,Deathrate
Afghanistan,AFG,32564342,652230,13.9,50.9
Egypt,EGY,88487396,1001450,4.8,73.7
Albania,ALB,3029278,28748,6.6,78.1
Algeria,DZA,39542166,2381741,4.3,76.6
American Samoa,ASM,54343,199,4.8,75.1
Andorra,AND,85580,468,7,82.7
Angola,AGO,19625353,1246700,11.5,55.6
Antigua and Barbuda,ATG,92436,443,5.7,76.3
Equatorial Guinea,GQ,740743,28051,8.2,63.9
Argentina,ARG,43431886,2780400,7.3,77.7
Armenia,ARM,3056382,29743,9.3,74.4
Aruba,ABW,112162,180,8.2,76.6
Azerbaijan,AZE,9780780,86600,7.1,72.2
Ethiopia,ETH,99465819,1104300,8.2,61.5
Australia,AUS,22751014,7741220,7.1,82.2
Bahamas,BHS,324597,13880,7.1,72.2
Bahrain,BHR,1346613,760,2.7,78.7
Bangladesh,BGD,168957745,143998,5.6,70.9
Barbados,BRB,290604,430,8.4,75.2
Belarus,BLR,9589689,207600,13.4,72.5
Belgium,BEL,11323973,30528,9.6,80.9
Belize,BLZ,347369,22966,6,68.6
Benin,BEN,10448647,112622,8.2,61.5
Bermuda,BMU,70196,54,8.2,81.2
Bhutan,BTN,741919,38394,6.7,69.5
Bolivia,BOL,10800882,1098581,6.5,68.9
Bosnia and Herzegovina,BIH,3867055,51197,9.8,76.5
Botswana,BWA,2182719,581730,13.4,54.2
Brazil,BRA,204259812,8514877,6.6,73.5
Brunei,BRN,429646,5765,3.5,77
Bulgaria,BGR,7186893,110879,14.4,74.4
Burkina Faso,BFA,18931686,274200,11.7,55.1
Burundi,BDI,10742276,27830,9.3,60.1
Czech Republic,CZE,78867,0,78.5,0
Chile,CHL,17508260,756102,6,78.6
China,CHN,1367485388,9596960,7.5,75.4
Costa Rica,CRI,4814144,51100,4.6,78.4
Curacao,CUW,146836,444,8,78
Denmark,DNK,5581503,43094,10.3,79.2
Democratic Republic of the Congo,COD,79375136,2344858,10.1,56.9
Germany,DEU,80854408,357022,11.4,80.6
Dominican Republic,DOM,10478756,48670,4.6,78
Djibouti,DJI,828324,23200,7.7,62.8
Ecuador,ECU,15868396,283561,5.1,76.6
El Salvador,SLV,6141350,21041,5.7,74.4
Ivory Coast,CIV,23295302,322463,9.6,58.3
Eritrea,ERI,6527689,117600,7.5,63.8
Estonia,EST,1265420,45228,12.4,76.5
Fiji,FJI,909389,18274,6,72.4
Finland,FIN,5476922,338145,9.8,80.8
France,FRA,66553766,643801,9.2,81.8
French Polynesia,PYF,282703,4167,5,77
Gabon,GAB,1705336,267667,13.1,52
Gambia,GMB,1967709,11295,7.2,64.6
Georgia,GEO,4931226,69700,10.8,76
Ghana,GHA,26327649,238533,7.2,66.2
