City,Population,Area,density,latitude,longitude,name,desc,color,source,precision
Shanghai,"1,78,36,133","2,605.80","6,845",31.225344,121.488892,Shanghai,"Shanghai, Huangpu District, Shanghai, CN",,MapQuest Open,city/town
Lagos,"1,49,20,000","1,32","11,3",6.455058,3.39418,Lagos,"Lagos, Lagos Island, Lagos, NG",,MapQuest Open,city/town
Istanbul,"1,41,60,467","5,196","2,725",41.009633,28.965165,Istanbul,"Istanbul, Fatih, Istanbul, TR",,MapQuest Open,city/town
Karachi,"1,31,25,000",734,"17,88",24.86678,67.031129,Karachi,"Karachi, Karāchi District, Sindh, PK",,MapQuest Open,city/town
Mumbai,"1,24,78,447",603,"20,694",18.95238,72.832711,Mumbai,"Mumbai, Greater Bombay, Maharashtra, IN",,MapQuest Open,city/town
Moscow,"1,21,11,194","2,510.12","4,772",55.751634,37.618704,Moscow,"Moscow, Moscow, RU",,MapQuest Open,city/town
San Paulo,"1,18,21,873","1,522.98","7,762",-21.954981,-49.023235,San Paulo,"São Paulo, BR",,MapQuest Open,state/province
Beijing,"1,17,16,620","1,368.32","8,563",39.905963,116.391248,Beijing,"Beijing, Dongcheng District, Beijing, CN",,MapQuest Open,city/town
Guangzhou,"1,10,70,654","3,843.43","2,88",23.130004,113.259001,Guangzhou,"Guangzhou City, Yuexiu District, Guangdong, CN",,MapQuest Open,city/town
Delhi,"1,10,07,835",431.09,"25,535",28.651718,77.221939,Delhi,"Delhi, Delhi, IN",,MapQuest Open,city/town
Lahore,"1,05,20,000","1,772","3,566",31.562192,74.322852,Lahore,"Lahore, Lahore District, Punjab, PK",,MapQuest Open,city/town
Shenzhen,"1,04,67,400","1,991.64","5,255",22.544267,114.054533,Shenzhen,"Shenzhen, Futian District, Guangdong, CN",,MapQuest Open,city/town
Seoul,"1,04,42,426",605.21,"17,254",37.565486,126.97799,Seoul,"Sogong-dong, KR",,MapQuest Open,NEIGHBORHOOD
Jakarta,"97,61,407",664.12,"14,698",-6.175394,106.827183,Jakarta,"Jakarta, Gambir, Jakarta Special Capital Region, ID",,MapQuest Open,city/town
Tianjin,"93,41,844","4,037","2,314",39.123564,117.198079,Tianjin,"Tianjin, Heping District, Tianjin, CN",,MapQuest Open,city/town
Chennai,"89,81,087",426,"21,082",13.079691,80.282953,Chennai,"Chennai, Tamil Nadu, IN",,MapQuest Open,city/town
Tokyo,"89,67,665",617.18,"14,4",35.682838,139.758967,Tokyo,"Tokyo, Chiyoda, JP",,MapQuest Open,city/town
Cairo,"89,22,949","3,085.10","2,892",30.048819,31.243666,Cairo,"Cairo, Cairo Governorate, EG",,MapQuest Open,city/town
Dhaka,"89,06,039",302.92,"29,401",23.759357,90.378814,Dhaka,"Dhaka, Dhaka Division, BD",,MapQuest Open,city/town
Mexico City,"88,73,017","1,485.49","5,973",19.43253,-99.13321,Mexico City,"Mexico City, Cuauhtémoc, Mexico City, MX",,MapQuest Open,city/town
Kinshasa,"87,54,000","2,016","4,342",-4.321705,15.312597,Kinshasa,"Kinshasa, Kinshasa, Kinshasa, CD",,MapQuest Open,city/town
Bangalore,"84,25,970",709.5,"11,876",12.97912,77.5913,Bangalore,"Bengaluru, Bangalore Urban, Karnataka, IN",,MapQuest Open,city/town
New York,"83,36,697",783.7,"10,637",40.730599,-73.986581,New York,"New York City, NY, US",,MapQuest Open,city/town
London,"83,08,369","1,572.15","5,285",51.507322,-0.127647,London,"London, London, England, GB",,MapQuest Open,city/town
Bangkok,"82,80,925","1,568.74","5,28",13.754253,100.493087,Bangkok,"Bangkok, กรุงเทพมหานคร, TH",,MapQuest Open,city/town
Tehran,"82,44,535",760,"10,359",35.686172,51.422352,Tehran,"Tehran, Tehran, IR",,MapQuest Open,city/town
Dongguan,"82,20,237","2,465","3,335",23.044928,113.752478,Dongguan,"Dongguan, Guangdong, CN",,MapQuest Open,city/town
Ho Chi Minh City,"76,81,700","2,095.60","3,667",10.77548,106.702145,Ho Chi Minh City,"Ho Chi Minh City, Ho Chi Minh City, VN",,MapQuest Open,city/town
Bogota,"76,74,366","1,587","4,836",4.598048,-74.076087,Bogota,"Bogota, Distrito Capital de Bogotá, CO",,MapQuest Open,city/town
Lima,"76,59,521",804.38,"9,522",-12.061642,-77.036711,Lima,"Lima, Lima, PE",,MapQuest Open,city/town
Hong Kong,"71,08,100","1,108","6,415",22.279328,114.162813,Hong Kong,"Hong Kong, Central and Western District, Hong Kong, CN",,MapQuest Open,city/town
Hanoi,"68,44,100","3,323.60","2,059",21.02921,105.85247,Hanoi,"Hanoi, Hanoi, VN",,MapQuest Open,city/town
Hyderabad,"68,09,970",621.48,"10,958",17.361623,78.474731,Hyderabad,"Hyderabad, Medak, Telangana, IN",,MapQuest Open,city/town
Wuhan,"64,34,373",888.42,"7,242",30.596021,114.29928,Wuhan,"Wuhan, Jiang'an District, Hubei, CN",,MapQuest Open,city/town
Rio de Janeiro,"64,29,923","1,182.30","5,438",-22.911014,-43.209373,Rio de Janeiro,"Rio de Janeiro, Rio de Janeiro, Rio de Janeiro, BR",,MapQuest Open,city/town
Foshan,"61,51,622","2,034","3,024",23.024917,113.114617,Foshan,"Foshan, Chancheng District, Guangdong, CN",,MapQuest Open,city/town
Ahmedabad,"55,70,585",475,"11,727",23.021624,72.579707,Ahmedabad,"Ahmedabad, Gujarat, IN",,MapQuest Open,city/town
Baghdad,"54,02,486","1,134","4,064",33.302425,44.378799,Baghdad,"Baghdad, Karkh, Baghdad, IQ",,MapQuest Open,city/town
Singapore,"53,99,200",712.4,"7,579",1.290453,103.852038,Singapore,"Singapore, Central Singapore Community Development Council, SG",,MapQuest Open,city/town
Shantou,"53,91,028","2,064.42","2,611",23.365298,116.694882,Shantou,"Shantou, Jinping District, Guangdong, CN",,MapQuest Open,city/town
Riyadh,"51,88,286",800,"6,485",24.631969,46.715065,Riyadh,"Riyadh, SA",,MapQuest Open,city/town
Jeddah,"51,12,018","1,23","2,789",21.582225,39.16404,Jeddah,"Jeddah, SA",,MapQuest Open,city/town
Santiago,"50,40,028","2,03","2,469",-33.437913,-70.650456,Santiago,"Santiago, Provincia de Santiago, Región Metropolitana de Santiago, CL",,MapQuest Open,city/town
Saint Petersburg,"50,23,313","1,399","3,48",59.939366,30.315363,Saint Petersburg,"Saint Petersburg, Saint Petersburg, RU",,MapQuest Open,city/town
Qalyubia,"48,11,673","1,001.09","4,806",30.333118,31.222013,Qalyubia,"Qalyubia Governorate, EG",,MapQuest Open,state/province
